trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,1.6226506163071364,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-64.58459913843836,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,8,-20.596796815957276,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-31.486204344635198,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",35,19,-21.525056431630833,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",25,0,-36.39975392665828,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",30,23,11.782644692705945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,13,-10.585866053088791,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,3,-90.14004893698852,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,20,7.4937623427563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",35,21,-46.829804779819206,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,14,-1.3598745326973942,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-57.55355542446614,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",30,0,34.16899655442725,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",30,13,-78.35105479146414,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",20,11,-20.300258031872715,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",25,0,-90.94047656119497,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-48.83312633518253,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
